home_team,away_team,season,prediction,prediction_letter,prob_home,prob_draw,prob_away
Swansea City,Everton,2017-2018,Away,A,0.3326277732849121,0.2886601686477661,0.37871211767196655
Swansea City,West Bromwich Albion,2017-2018,Home,H,0.43066802620887756,0.3137669563293457,0.25556498765945435
Swansea City,Huddersfield Town,2017-2018,Home,H,0.49954700469970703,0.22774557769298553,0.27270740270614624
Swansea City,Newcastle United,2017-2018,Home,H,0.4102173149585724,0.3037470877170563,0.28603553771972656
Swansea City,Arsenal,2017-2018,Away,A,0.21410013735294342,0.2427459955215454,0.5431538820266724
Swansea City,Liverpool,2017-2018,Away,A,0.20396937429904938,0.2231816202402115,0.5728490352630615
Swansea City,Tottenham Hotspur,2017-2018,Away,A,0.20705267786979675,0.23102208971977234,0.5619252324104309
Swansea City,Chelsea,2017-2018,Away,A,0.23460818827152252,0.2351658195257187,0.5302259922027588
Swansea City,Crystal Palace,2017-2018,Home,H,0.3946947157382965,0.29952818155288696,0.3057771623134613
Swansea City,Southampton,2017-2018,Away,A,0.3294250965118408,0.2682231664657593,0.4023517370223999
Swansea City,West Ham United,2017-2018,Home,H,0.3923438489437103,0.2923873960971832,0.31526878476142883
Swansea City,Stoke City,2017-2018,Home,H,0.4002169966697693,0.29757359623908997,0.30220940709114075
Liverpool,Watford,2017-2018,Home,H,0.6889623999595642,0.18172383308410645,0.12931376695632935
Liverpool,AFC Bournemouth,2017-2018,Home,H,0.6199756264686584,0.2350892424583435,0.14493516087532043
Liverpool,Leicester City,2017-2018,Home,H,0.6586863994598389,0.2072226107120514,0.13409100472927094
Liverpool,Manchester United,2017-2018,Home,H,0.49807122349739075,0.30103209614753723,0.2008967101573944
Liverpool,Burnley,2017-2018,Home,H,0.6744970679283142,0.19603359699249268,0.1294693499803543
Liverpool,Brighton and Hove Albion,2017-2018,Home,H,0.7085748910903931,0.1711738556623459,0.12025125324726105
Liverpool,Manchester City,2017-2018,Home,H,0.3906949460506439,0.3544609248638153,0.25484412908554077
Liverpool,Everton,2017-2018,Home,H,0.5736766457557678,0.2722361981868744,0.1540871262550354
Liverpool,West Bromwich Albion,2017-2018,Home,H,0.6765723824501038,0.1953527331352234,0.12807489931583405
Liverpool,Huddersfield Town,2017-2018,Home,H,0.7085748910903931,0.1711738556623459,0.12025125324726105
Liverpool,Newcastle United,2017-2018,Home,H,0.6849519610404968,0.17977659404277802,0.13527141511440277
Liverpool,Arsenal,2017-2018,Home,H,0.4795236885547638,0.31418347358703613,0.20629283785820007
Liverpool,Swansea City,2017-2018,Home,H,0.6680935025215149,0.20167763531208038,0.13022883236408234
Liverpool,Tottenham Hotspur,2017-2018,Home,H,0.3946699798107147,0.3542355000972748,0.2510945498943329
Liverpool,Chelsea,2017-2018,Home,H,0.49944761395454407,0.3081088364124298,0.19244354963302612
Liverpool,Crystal Palace,2017-2018,Home,H,0.6476082801818848,0.21419137716293335,0.1382003277540207
Liverpool,Southampton,2017-2018,Home,H,0.5892657041549683,0.2366269826889038,0.17410732805728912
Liverpool,West Ham United,2017-2018,Home,H,0.6871976852416992,0.18255268037319183,0.13024963438510895
Liverpool,Stoke City,2017-2018,Home,H,0.6708669662475586,0.19387082755565643,0.1352621465921402
Tottenham Hotspur,Watford,2017-2018,Home,H,0.7066810131072998,0.1720896065235138,0.12122942507266998
