home_team,away_team,season,prob_home,prob_draw,prob_away
Tottenham Hotspur,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Bolton Wanderers,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Reading,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
